name,tau,delta1,delta2,exp_id,lambda,rounds,wandb_flag,rt_sum,rt_list
worthy-leaf-3438,10,0.5,2e-05,tpch_static_1_MAB,0.8,0,,98827930.20812398,"[4388976.034875001, 3943444.27226, 4087214.793675, 3943444.104921, 3937149.542812, 3937113.553332001, 3937212.333948, 3850583.783936, 3937113.303980001, 3838766.943500001, 3937212.2749820007, 3937212.274106001, 3838766.944199001, 3991924.893673001, 4087214.793485, 3943444.104669, 3937212.2744900007, 3937212.333976, 3937212.334329, 3793437.64422, 3937212.3341, 3937212.333869, 3937212.333575001, 3937212.333749, 3937212.333463]"
sage-tree-3436,8,0.5,2e-05,tpch_static_1_MAB,0.8,0,,98623215.36937498,"[4388976.024165001, 3943444.334714, 4087214.803548, 3943444.114313, 3937149.553745, 3937113.565413001, 3937212.343233001, 3850583.792343, 3937113.312338001, 3838766.9523360007, 3937212.285218001, 3937212.282559001, 3838766.952038001, 3943444.104375, 3937212.2751290007, 3937212.334841, 3937212.336432, 3793437.646295, 3937212.336419, 3937212.337109, 3937212.336432, 3937212.336531, 3937212.336679, 3937212.336633001, 3937212.336537]"
lyric-firebrand-3433,5,0.5,2e-05,tpch_static_1_MAB,0.8,0,,97265772.07865898,"[4388976.022798001, 3943444.273156, 4087214.793192, 3943444.103257, 3937149.542978, 3937113.552947001, 3937212.333217, 3850583.7831970006, 3937113.303138001, 3838766.9428890008, 3943444.103736, 3940357.454925, 3796590.7830170006, 3940365.47395, 3940365.476868, 3790363.013931, 3790363.013482, 3790363.013295, 3790363.013344, 3790363.013265, 3790363.013364, 3790363.013305, 3790363.01356, 3790363.014044, 3790363.013804]"
bumbling-pyramid-3430,3,0.5,2e-05,tpch_static_1_MAB,0.8,0,,97070618.11792302,"[4388976.0141, 3943444.291887, 4087214.806786, 3943444.121064, 3937149.556205, 3937113.5660530007, 3937212.346235001, 3850583.791919, 3943444.117171, 3940357.4672690006, 3796590.7924950006, 3940365.48247, 3940365.483048, 3790363.02268, 3790363.023082, 3790363.023082, 3790363.023388, 3790363.023208, 3790363.023245, 3790363.0235, 3790363.024239, 3790363.024403, 3790363.024294, 3790363.023201, 3790363.022899]"
winter-eon-3429,70,0.5,0.0002,tpch_static_1_MAB,0.8,0,,99584303.13693902,"[4388976.030562, 3943444.299823, 4087214.804006, 3943444.113119, 3937149.554247, 3937113.562900001, 3937212.342711, 3850583.792347, 3937113.312728001, 3838766.9546580007, 3937212.2838090006, 3937212.282791001, 3838766.952490001, 3991924.9031020007, 4087214.803511, 4087214.803895, 4087214.802973, 4087214.802756, 4087214.802807001, 3940266.513475, 3940365.484508, 3940365.483512, 3940365.483832, 3940365.483518, 3940365.482859]"
sunny-gorge-3426,50,0.5,0.0002,tpch_static_1_MAB,0.8,0,,99584302.885612,"[4388976.031704, 3943444.274753, 4087214.795087, 3943444.105941, 3937149.543194, 3937113.552725001, 3937212.332898, 3850583.783431001, 3937113.303147001, 3838766.943075001, 3937212.273856001, 3937212.2726750006, 3838766.942593001, 3991924.892848001, 4087214.795081, 4087214.794036, 4087214.793102, 4087214.792911, 4087214.792969, 3940266.50399, 3940365.473671, 3940365.472797, 3940365.472863, 3940365.473223, 3940365.473042]"
devout-blaze-3423,25,0.5,0.0002,tpch_static_1_MAB,0.8,0,,99584302.884963,"[4388976.041462, 3943444.275876, 4087214.793563, 3943444.103073, 3937149.542897, 3937113.553492001, 3937212.333686, 3850583.7828350007, 3937113.302950001, 3838766.9424900007, 3937212.273238001, 3937212.272471001, 3838766.9424450006, 3991924.8932110006, 4087214.792861, 4087214.793379, 4087214.792947, 4087214.792567, 4087214.792553, 3940266.502651, 3940365.473043, 3940365.47292, 3940365.472793, 3940365.473052, 3940365.472508]"
different-tree-3420,15,0.5,0.0002,tpch_static_1_MAB,0.8,0,,99277937.814915,"[4388975.994461, 3943444.316388, 4087214.804252, 3943444.113697, 3937149.553998001, 3937113.562657001, 3937212.343026, 3850583.792415001, 3937113.313066001, 3838766.954246001, 3937212.284197001, 3937212.283725001, 3838766.9528820007, 3991924.9030980007, 4087214.802535, 4087214.803323, 4087214.802793, 4087214.804212, 3943444.113805, 3937212.2838340006, 3937212.343035, 3937212.342975, 3793437.659855, 3937212.343371, 3937212.343069]"
splendid-yogurt-3417,10,0.5,0.0002,tpch_static_1_MAB,0.8,0,,98534153.33758502,"[4388976.01711, 3943444.311751, 4087214.804063, 3943444.113923, 3937149.556123, 3937113.562633001, 3937212.343417001, 3850583.796213001, 3937113.315124001, 3838766.9547510007, 3937212.286920001, 3937212.2855580007, 3838766.953355001, 3991924.902617001, 3943444.114257, 3937212.2864350006, 3937212.346498, 3937212.347861, 3793437.657623, 3937212.346753, 3937212.346842, 3937212.345035, 3937212.343791, 3937212.344128, 3793437.654804]"
lyric-water-3415,8,0.5,0.0002,tpch_static_1_MAB,0.8,0,,98578174.892896,"[4388975.995558, 3943444.316586, 4087214.803176, 3943444.115469, 3937149.552211, 3937113.565965001, 3937212.342888, 3850583.7929830006, 3937113.313017001, 3838766.9526840006, 3937212.283684001, 3937212.2822040007, 3943444.113654, 3937236.4037310006, 3937236.403022001, 3793461.712893, 3937236.4028560007, 3937236.4027320007, 3937236.403105001, 3937236.405853001, 3937236.403421001, 3937236.4038610007, 3937236.403112001, 3937236.405404001, 3793461.712827]"
wandering-music-3412,5,0.5,0.0002,tpch_static_1_MAB,0.8,0,,97265772.20751797,"[4388976.021434001, 3943444.330386, 4087214.803450001, 3943444.113488, 3937149.553414, 3937113.562796001, 3937212.334871, 3850583.785538001, 3937113.304959001, 3838766.944559, 3943444.105412, 3940357.455412, 3796590.784662, 3940365.474609, 3940365.474736, 3790363.014818, 3790363.015232, 3790363.025001, 3790363.014683, 3790363.014509, 3790363.014425, 3790363.014573, 3790363.014633, 3790363.015128, 3790363.01479]"
still-yogurt-3409,3,0.5,0.0002,tpch_static_1_MAB,0.8,0,,97070617.864162,"[4388976.026131, 3943444.278812, 4087214.794015, 3943444.10351, 3937149.542985, 3937113.5531180007, 3937212.333153, 3850583.7827710006, 3943444.103604, 3940357.453564, 3796590.783825, 3940365.473614, 3940365.473558, 3790363.013868, 3790363.013318, 3790363.01322, 3790363.013399, 3790363.013388, 3790363.013042, 3790363.013187, 3790363.013263, 3790363.013717, 3790363.013864, 3790363.013705, 3790363.013531]"
stilted-firebrand-3406,70,0.5,0.002,tpch_static_1_MAB,0.8,0,,99127935.110129,"[4388976.018125, 3943444.277835, 4087214.793626, 3943444.10364, 3937149.543361, 3937113.553254001, 3937212.333356001, 3850583.784137, 3937113.303535001, 3838766.943472001, 3937212.2739650006, 3937212.2732890006, 3838766.9431620007, 3991924.8932810007, 4087214.793402, 4087214.794374, 4087214.793231, 3943444.1042, 3937212.2741780006, 3937212.333577, 3937212.333568, 3793437.643528, 3937212.334256, 3937212.334083, 3937212.333694]"
icy-butterfly-3400,50,0.5,0.002,tpch_static_1_MAB,0.8,0,,99127935.130102,"[4388976.018709, 3943444.298918, 4087214.794199, 3943444.104011, 3937149.543094, 3937113.552969001, 3937212.333768, 3850583.783326, 3937113.303589001, 3838766.943835001, 3937212.2739070007, 3937212.273302001, 3838766.9433570006, 3991924.893332001, 4087214.793245, 4087214.79394, 4087214.793391001, 3943444.103999, 3937212.274119001, 3937212.333574, 3937212.333251, 3793437.643469, 3937212.333289, 3937212.333254, 3937212.334255]"
easy-firebrand-3398,25,0.5,0.002,tpch_static_1_MAB,0.8,0,,99127935.335417,"[4388976.0203720005, 3943444.295649, 4087214.802688, 3943444.112503, 3937149.551951001, 3937113.561918001, 3937212.342176, 3850583.791902001, 3937113.312088001, 3838766.952017, 3937212.282820001, 3937212.281988001, 3838766.9572060006, 3991924.902386001, 4087214.80206, 4087214.802652, 4087214.801668, 3943444.113284, 3937212.283409001, 3937212.342335, 3937212.342459, 3793437.652946, 3937212.342265, 3937212.342319001, 3937212.342356]"
colorful-plant-3395,15,0.5,0.002,tpch_static_1_MAB,0.8,0,,98827930.232528,"[4388976.0348970005, 3943444.280288, 4087214.794222, 3943444.103949, 3937149.543361, 3937113.553011001, 3937212.333693001, 3850583.783384, 3937113.303343001, 3838766.9432860008, 3937212.274065001, 3937212.273273001, 3838766.9431850007, 3991924.893001001, 4087214.793216, 3943444.104037, 3937212.2764810007, 3937212.344222, 3937212.341915, 3793437.644226, 3937212.334027, 3937212.333882, 3937212.334201, 3937212.334377, 3937212.334986]"
stellar-plasma-3392,10,0.5,0.002,tpch_static_1_MAB,0.8,0,,98578174.884664,"[4388976.0289630005, 3943444.291694, 4087214.803289, 3943444.114666, 3937149.553616, 3937113.562315001, 3937212.342491, 3850583.7921000007, 3937113.312208001, 3838766.952211001, 3937212.283092001, 3937212.2818630007, 3943444.11337, 3937236.4036710006, 3937236.4025150007, 3793461.712508, 3937236.4025480007, 3937236.402477001, 3937236.4031310007, 3937236.402651001, 3937236.402407001, 3937236.402841001, 3937236.4032100006, 3937236.4024300007, 3793461.712397]"
atomic-water-3390,8,0.5,0.002,tpch_static_1_MAB,0.8,0,,97265772.361746,"[4388976.008938001, 3943444.330005, 4087214.805206, 3943444.115925, 3937149.554167, 3937113.564222001, 3937212.343838, 3850583.793514, 3937113.313589001, 3838766.952410001, 3943444.113941, 3940357.465231, 3796590.7932830006, 3940365.487439, 3940365.48272, 3790363.023206, 3790363.023315, 3790363.022914, 3790363.022937, 3790363.023307, 3790363.024452, 3790363.024759, 3790363.024857, 3790363.024013, 3790363.023558]"
frosty-haze-3387,5,0.5,0.002,tpch_static_1_MAB,0.8,0,,97070618.135562,"[4388976.016795, 3943444.301146, 4087214.803709, 3943444.113818, 3937149.555184, 3937113.565244001, 3937212.345647, 3850583.794805001, 3943444.116779, 3940357.466749, 3796590.793944, 3940365.486893, 3940365.483456, 3790363.023475, 3790363.023024, 3790363.024031, 3790363.023023, 3790363.025341, 3790363.025656, 3790363.024819, 3790363.023743, 3790363.024314, 3790363.025372, 3790363.024699, 3790363.023896]"
efficient-lake-3384,3,0.5,0.002,tpch_static_1_MAB,0.8,0,,100413830.95022504,"[4388976.038666001, 3943444.288454, 4087214.793300001, 3943444.103886, 3937149.543041, 3937113.552836001, 3943444.104267, 4087214.793915, 3943440.104069, 4087214.79303, 3943440.103126, 3937212.333411, 3943444.104102, 3937212.334029, 3838742.88378, 3937212.333808, 3937141.133661, 4087143.593755, 4087143.593893, 4076674.033698001, 4064828.343551, 4095202.804039, 4076674.033423001, 4076551.60306, 4076551.603425]"
dauntless-grass-3381,70,0.5,0.02,tpch_static_1_MAB,0.8,0,,99127935.364099,"[4388976.037183001, 3943444.293216, 4087214.805142, 3943444.114905, 3937149.553355, 3937113.562545001, 3937212.342213, 3850583.7919820007, 3937113.312124001, 3838766.952036001, 3937212.283039001, 3937212.282503001, 3838766.9523820006, 3991924.902254001, 4087214.802053, 4087214.802835, 4087214.801747, 3943444.11325, 3937212.2851880006, 3937212.342441001, 3937212.346086, 3793437.653425, 3937212.344205, 3937212.344044, 3937212.343946]"
comfy-donkey-3379,50,0.5,0.02,tpch_static_1_MAB,0.8,0,,99127935.158267,"[4388976.052513001, 3943444.258405, 4087214.793291, 3943444.103865, 3937149.543438, 3937113.559612001, 3937212.34762, 3850583.783177001, 3937113.303282001, 3838766.9436360006, 3937212.2740700007, 3937212.2736090007, 3838766.943635001, 3991924.893665001, 4087214.793921, 4087214.794897, 4087214.794031, 3943444.105126, 3937212.275175001, 3937212.334974, 3937212.335095001, 3793437.644594, 3937212.334484, 3937212.335187, 3937212.336965]"
grateful-voice-3377,25,0.5,0.02,tpch_static_1_MAB,0.8,0,,99127935.434263,"[4388976.009925, 3943444.381949, 4087214.803076, 3943444.115281, 3937149.552709, 3937113.562397001, 3937212.342848, 3850583.795020001, 3937113.313164001, 3838766.953667, 3937212.283719001, 3937212.283717001, 3838766.952594001, 3991924.902626001, 4087214.80248, 4087214.803311, 4087214.80226, 3943444.113581, 3937212.285131001, 3937212.343124, 3937212.343459, 3793437.654276, 3937212.344735, 3937212.344419, 3937212.344795]"
fluent-pyramid-3374,15,0.5,0.02,tpch_static_1_MAB,0.8,0,,98827930.371551,"[4388976.037049, 3943444.350168, 4087214.803295001, 3943444.115805, 3937149.553557, 3937113.563532001, 3937212.342443001, 3850583.792446001, 3937113.313418001, 3838766.9439830007, 3937212.275556001, 3937212.274626001, 3838766.944538001, 3991924.8945260006, 4087214.794434, 3943444.108369, 3937212.275264001, 3937212.33473, 3937212.334912, 3793437.644709, 3937212.334737001, 3937212.334760001, 3937212.335036, 3937212.334876, 3937212.334782]"
woven-night-3371,10,0.5,0.02,tpch_static_1_MAB,0.8,0,,98578174.638528,"[4388976.020687001, 3943444.275445, 4087214.793113, 3943444.103265, 3937149.543043, 3937113.553018001, 3937212.332799, 3850583.78282, 3937113.302892001, 3838766.9431460006, 3937212.273459001, 3937212.272696001, 3943444.103396, 3937236.393451001, 3937236.393116001, 3793461.703040001, 3937236.3932310008, 3937236.393115001, 3937236.3933390006, 3937236.393605001, 3937236.3931550006, 3937236.393100001, 3937236.3932810007, 3937236.393230001, 3793461.703086]"
robust-microwave-3368,8,0.5,0.02,tpch_static_1_MAB,0.8,0,,97265772.11390004,"[4388976.052327001, 3943444.279722, 4087214.793431, 3943444.103716, 3937149.543277, 3937113.553290001, 3937212.333634, 3850583.783444, 3937113.305277001, 3838766.9430730008, 3943444.105097, 3940357.454134001, 3796590.783475, 3940365.473434, 3940365.473631, 3790363.013712, 3790363.01367, 3790363.013301, 3790363.01322, 3790363.013113, 3790363.013226, 3790363.0132, 3790363.013196, 3790363.013315, 3790363.012985]"
jumping-sky-3366,5,0.5,0.02,tpch_static_1_MAB,0.8,0,,97070618.10617097,"[4388975.989183, 3943444.335469, 4087214.802926, 3943444.113079, 3937149.551918, 3937113.5619240007, 3937212.342085, 3850583.791412001, 3943444.112822, 3940357.4629620006, 3796590.792099, 3940365.482205, 3940365.482289, 3790363.022154, 3790363.02215, 3790363.02224, 3790363.022239, 3790363.023294, 3790363.022114, 3790363.022252, 3790363.022572, 3790363.022543, 3790363.036214, 3790363.025639, 3790363.022387]"
jumping-sky-3366,5,0.5,0.02,tpch_static_1_MAB,0.8,0,,97070618.10617097,"[4388975.989183, 3943444.335469, 4087214.802926, 3943444.113079, 3937149.551918, 3937113.5619240007, 3937212.342085, 3850583.791412001, 3943444.112822, 3940357.4629620006, 3796590.792099, 3940365.482205, 3940365.482289, 3790363.022154, 3790363.02215, 3790363.02224, 3790363.022239, 3790363.023294, 3790363.022114, 3790363.022252, 3790363.022572, 3790363.022543, 3790363.036214, 3790363.025639, 3790363.022387]"
whole-serenity-3363,3,0.5,0.02,tpch_static_1_MAB,0.8,0,,100413831.109963,"[4388976.032784, 3943444.274783, 4087214.794281, 3943444.105149, 3937149.552791, 3937113.562618001, 3943444.114593, 4087214.794183001, 3943440.104517, 4087214.794552, 3943440.113863, 3937212.342487, 3943444.113953, 3937212.343719001, 3838742.894185, 3937212.343314, 3937141.143061, 4087143.606766, 4087143.595271, 4076674.043184001, 4064828.353564, 4095202.814247, 4076674.0448770006, 4076551.613534, 4076551.613687]"
faithful-leaf-3361,70,0.5,0.01,tpch_static_1_MAB,0.8,0,,99427940.241018,"[4388976.038258, 3943444.26187, 4087214.794967, 3943444.105117, 3937149.552449, 3937113.564940001, 3937212.342563001, 3850583.793395001, 3937113.313130001, 3838766.952331001, 3937212.283223001, 3937212.2823990006, 3838766.954074001, 3991924.902665001, 4087214.802597, 4087214.804113, 4087214.802272, 4087214.803317, 4087214.803189, 3943444.114325, 3937212.2839490008, 3937212.342927001, 3937212.34373, 3793437.655484, 3937212.343734]"
vague-sun-3358,50,0.5,0.01,tpch_static_1_MAB,0.8,0,,99427940.023559,"[4388976.031557, 3943444.274714, 4087214.79339, 3943444.103584, 3937149.543073, 3937113.552635001, 3937212.332802001, 3850583.78301, 3937113.303203001, 3838766.9433650007, 3937212.2738740006, 3937212.272785001, 3838766.9427780006, 3991924.8929360006, 4087214.792913, 4087214.793328, 4087214.79268, 4087214.792412, 4087214.792312, 3943444.102993, 3937212.273218001, 3937212.332695, 3937212.332387, 3793437.64254, 3937212.332375]"
lyric-durian-3355,25,0.5,0.01,tpch_static_1_MAB,0.8,0,,99427940.262312,"[4388976.012701, 3943444.29315, 4087214.794851, 3943444.114179, 3937149.552906, 3937113.562401001, 3937212.344442, 3850583.7945400006, 3937113.3134560008, 3838766.9530390007, 3937212.283562001, 3937212.282478001, 3838766.9529480007, 3991924.903372001, 4087214.803976, 4087214.805143, 4087214.80445, 4087214.80334, 4087214.80395, 3943444.115207, 3937212.284300001, 3937212.343233001, 3937212.343548, 3793437.654106, 3937212.343034]"
